tokens per iteration will be: 491,520
Initializing a new model from scratch
Initializing a new model from scratch
number of parameters: 120.01M
/users/4/serra082/gpt2mla/train_mla.py:184: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
using fused AdamW: True
step 0: train loss 10.9600, val loss 10.9594
iter 0: loss 10.9531, time 15880.66ms, mfu -100.00%
iter 10: loss 10.4110, time 2622.22ms, mfu 25.03%
iter 20: loss 9.7675, time 2591.71ms, mfu 25.06%
iter 30: loss 9.2871, time 2576.83ms, mfu 25.10%
iter 40: loss 9.1440, time 2676.67ms, mfu 25.04%
iter 50: loss 9.1684, time 2577.30ms, mfu 25.09%
iter 60: loss 8.7424, time 2574.52ms, mfu 25.13%
iter 70: loss 8.4224, time 2634.93ms, mfu 25.11%
iter 80: loss 8.3858, time 2579.48ms, mfu 25.14%
iter 90: loss 8.3307, time 2578.47ms, mfu 25.17%
iter 100: loss 7.7668, time 2639.65ms, mfu 25.14%
iter 110: loss 7.6251, time 2575.48ms, mfu 25.18%
iter 120: loss 7.6457, time 2596.53ms, mfu 25.19%
iter 130: loss 7.5427, time 2731.01ms, mfu 25.07%
iter 140: loss 7.1086, time 2581.20ms, mfu 25.11%
iter 150: loss 7.2731, time 2597.95ms, mfu 25.12%
iter 160: loss 6.9799, time 2579.89ms, mfu 25.16%
iter 170: loss 6.7971, time 2607.95ms, mfu 25.16%
iter 180: loss 6.8970, time 2861.03ms, mfu 24.94%
iter 190: loss 6.5611, time 2580.64ms, mfu 24.99%
iter 200: loss 6.2179, time 2620.75ms, mfu 24.99%
iter 210: loss 6.3206, time 2633.68ms, mfu 24.98%
iter 220: loss 6.2843, time 2582.71ms, mfu 25.03%
iter 230: loss 6.6153, time 2795.75ms, mfu 24.87%
iter 240: loss 5.8462, time 2608.26ms, mfu 24.90%
iter 250: loss 6.2637, time 2654.39ms, mfu 24.88%
iter 260: loss 6.1083, time 2638.45ms, mfu 24.88%
iter 270: loss 6.2978, time 2704.07ms, mfu 24.82%
iter 280: loss 6.6023, time 2734.86ms, mfu 24.74%
iter 290: loss 6.1437, time 2652.38ms, mfu 24.74%
iter 300: loss 6.3320, time 2581.28ms, mfu 24.81%
iter 310: loss 6.1382, time 2577.14ms, mfu 24.88%
iter 320: loss 6.2529, time 2661.78ms, mfu 24.85%
iter 330: loss 6.0623, time 2580.82ms, mfu 24.91%
iter 340: loss 5.7403, time 2579.71ms, mfu 24.97%
iter 350: loss 5.9950, time 2726.38ms, mfu 24.88%
iter 360: loss 5.5959, time 2758.81ms, mfu 24.77%
iter 370: loss 5.7695, time 2658.90ms, mfu 24.76%
iter 380: loss 6.1248, time 2848.74ms, mfu 24.59%
iter 390: loss 6.0801, time 2734.80ms, mfu 24.53%
iter 400: loss 6.1292, time 2594.64ms, mfu 24.61%
iter 410: loss 5.8314, time 2700.55ms, mfu 24.58%
iter 420: loss 6.0360, time 2799.56ms, mfu 24.46%
